timestamp,key,f1_tariff,f2_kwh_day,f3_kwh_max_30min,f4_kwh_median_30min,f5_kwh_p90_30min,f6_kwh_stdev_30min,f7_evening_share,f8_night_share,f9_load_factor,f10_peak_half_hour_slot,f11_zero_half_hour_count
1350082800000,MAC000038,0,7.918,0.458,0.1255,0.283,0.0975369499073,0.39959585754,0.1624147512,0.360171033479,41,0
1350082800000,MAC000039,0,6.048,0.395,0.0975,0.211,0.0800413955401,0.282076719577,0.165509259259,0.318987341772,37,0
1350082800000,MAC000040,0,15.541,1.005,0.258,0.472,0.173862642094,0.369731677498,0.185831027604,0.322160033167,43,0
1350082800000,MAC000041,0,9.194,0.833,0.151,0.373,0.164773323884,0.392864911899,0.074070045682,0.229941976791,19,0
1350082800000,MAC000042,0,10.29,0.708,0.1945,0.327,0.135652378189,0.283381924198,0.126530612245,0.302789548023,19,0
1350082800000,MAC000043,0,2.81,0.15,0.048,0.107,0.0321739790911,0.39359430605,0.155160142349,0.390277777778,36,0
1350082800000,MAC000044,1,20.501,0.952,0.3675,0.795,0.272238424883,0.241500414614,0.251353592508,0.448638830532,7,0
1350082800000,MAC000045,0,23.6720001,1.619,0.2235,1.217,0.49357279039,0.105060830918,0.163146332531,0.304611901637,28,0
1350082800000,MAC000046,1,11.111,0.602,0.205,0.418,0.128497728512,0.317343173432,0.114841148411,0.384516888151,35,0
1350082800000,MAC000047,0,5.199,0.277,0.0885,0.169,0.0552920866286,0.359876899404,0.152144643201,0.391019855596,44,0
1350082800000,MAC000048,1,2.926,0.081,0.054,0.079,0.0106750455372,0.248462064252,0.243677375256,0.752572016461,5,0
1350082800000,MAC000049,0,41.4999998,3.4749999,0.6275,2.28,0.821184368284,0.344289153466,0.0532771086905,0.248800965193,24,0
1350082800000,MAC000050,0,27.309,1.722,0.395,1.42,0.500244998569,0.549452561427,0.0403163792156,0.330393437863,38,0
1350082800000,MAC000051,1,13.717,0.909,0.186,0.626,0.218491060037,0.405336443829,0.136400087483,0.314379354602,23,0
1350082800000,MAC000052,1,4.163,0.584,0.0535,0.167,0.0977992713809,0.362959404276,0.122027384098,0.148508847032,34,0
1350082800000,MAC000053,0,5.136,0.401,0.0805,0.195,0.0778039737631,0.282320872274,0.163940809969,0.266832917706,21,0
1350082800000,MAC000054,0,10.245,0.526,0.218,0.346,0.111863738958,0.351195705222,0.140263543192,0.405774714829,34,0
1350082800000,MAC000055,0,9.486,0.567,0.1415,0.392,0.118967541967,0.412080961417,0.220957200084,0.348544973545,35,0
1350082800000,MAC000056,0,7.433,0.488,0.149,0.272,0.107354744807,0.407103457554,0.0575810574465,0.317324112022,40,0
1350082800000,MAC000057,0,10.694,1.288,0.183,0.265,0.167467777788,0.363287824949,0.210304843838,0.17297489648,35,0
1350082800000,MAC000058,0,3.297,0.327,0.059,0.103,0.0553726603155,0.349105247194,0.116166211708,0.21005351682,19,0
1350082800000,MAC000059,0,15.507,0.721,0.2565,0.45,0.141825950589,0.182240278584,0.172889662733,0.448075589459,28,0
1350082800000,MAC000060,0,12.251,0.885,0.1645,0.561,0.22341042571,0.531630071015,0.0794220879928,0.288394538606,34,0
1350082800000,MAC000061,0,6.223,0.621,0.099,0.247,0.115454985742,0.300176763619,0.0592961594086,0.208769457864,20,0
1350082800000,MAC000062,0,10.681,0.598,0.187,0.342,0.0983026766301,0.316730643198,0.18415878663,0.372108416945,26,0
1350082800000,MAC000064,1,11.787,0.92,0.257,0.379,0.149429178634,0.32162551964,0.150844150335,0.26691576087,14,0
1350082800000,MAC000065,1,4.248,0.338,0.041,0.195,0.0856523982929,0.561911487759,0.0746233521657,0.261834319527,40,0
1350082800000,MAC000071,1,26.91,2.881,0.2135,1.226,0.649564005488,0.446599773318,0.0418431809736,0.19459389101,37,0
1350082800000,MAC000075,1,7.014,0.765,0.0865,0.321,0.146606847413,0.486170516111,0.121186199031,0.191013071895,39,0
1350082800000,MAC000076,1,20.285,1.596,0.3465,0.825,0.362598017759,0.280700024649,0.064875523786,0.264789578112,21,0
