LCLid,stdorToU,timestamp,KWH_day,KWH_max_30min,KWH_median_30min
MAC000002,Std,1350169200000,13.223,1.085,0.158
MAC000003,Std,1350169200000,15.5469999,1.595,0.1725
MAC000004,Std,1350169200000,1.862,0.316,0
MAC000006,Std,1350169200000,2.587,0.2,0.043
MAC000007,Std,1350169200000,10.937,1.691,0.124
MAC000008,Std,1350169200000,24.492,1.335,0.3825
MAC000009,Std,1350169200000,10.429,1.248,0.2035
MAC000010,Std,1350169200000,26.976,1.781,0.3905
MAC000012,Std,1350169200000,1.139,0.055,0.02
MAC000013,Std,1350169200000,5.451,0.21,0.1135
MAC000016,Std,1350169200000,0.225,0.059,0
MAC000018,Std,1350169200000,14.044,1.466,0.254
MAC000019,Std,1350169200000,3.638,0.156,0.0735
MAC000020,Std,1350169200000,7.121,0.844,0.097
MAC000021,Std,1350169200000,26.306,1.285,0.419
MAC000022,Std,1350169200000,18.4829999,1.385,0.192
MAC000023,Std,1350169200000,12.0780001,1.3710001,0.176
MAC000024,Std,1350169200000,14.734,2.5869999,0.151
MAC000025,Std,1350169200000,4.348,1.299,0.0255
MAC000026,Std,1350169200000,7.574,0.204,0.1555
MAC000027,Std,1350169200000,11.96,0.824,0.227
MAC000028,Std,1350169200000,5.139,0.293,0.084
MAC000029,Std,1350169200000,4.5930001,1.5190001,0.0475
MAC000030,Std,1350169200000,19.7170001,2.7490001,0.156
MAC000032,Std,1350169200000,18.719,1.64,0.2865
MAC000033,Std,1350169200000,7.391,0.463,0.1485
MAC000034,Std,1350169200000,5.552,0.258,0.104
MAC000035,Std,1350169200000,32.097,2.207,0.3925
MAC000036,Std,1350169200000,2.521,0.266,0.041
MAC000037,Std,1350169200000,0,0,0
MAC000038,Std,1350169200000,20.2910001,1.806,0.3115
MAC000039,Std,1350169200000,12.0559999,1.596,0.107
MAC000040,Std,1350169200000,14.385,0.514,0.295
MAC000041,Std,1350169200000,7.383,0.418,0.0925
MAC000042,Std,1350169200000,10.174,0.853,0.1505
MAC000043,Std,1350169200000,3.486,0.168,0.0655
MAC000045,Std,1350169200000,18.6289999,2.4319999,0.188
MAC000047,Std,1350169200000,5.988,0.287,0.1105
MAC000049,Std,1350169200000,41.7349999,2.987,0.7355
MAC000050,Std,1350169200000,14.767,1.426,0.2315
MAC000053,Std,1350169200000,4.732,0.655,0.067
MAC000054,Std,1350169200000,11.02,0.686,0.2125
MAC000055,Std,1350169200000,9.334,0.749,0.1455
MAC000056,Std,1350169200000,7.302,0.584,0.117
MAC000057,Std,1350169200000,11.749,0.901,0.1715
MAC000058,Std,1350169200000,3.262,0.287,0.0515
MAC000059,Std,1350169200000,17.055,1.164,0.3345
MAC000060,Std,1350169200000,10.649,0.726,0.1375
MAC000061,Std,1350169200000,5.501,0.462,0.0545
MAC000062,Std,1350169200000,11.398,0.558,0.205
MAC000063,Std,1350169200000,15.296,1.077,0.2125
MAC000066,Std,1350169200000,11.481,0.762,0.171
MAC000067,Std,1350169200000,9.833,0.446,0.209
MAC000068,Std,1350169200000,20.609,1.321,0.41
MAC000069,Std,1350169200000,6.822,0.601,0.1245
MAC000326,Std,1350169200000,15.6420001,1.497,0.1165
MAC000327,Std,1350169200000,16.0350001,1.2970001,0.1925
MAC000329,Std,1350169200000,11.161,0.712,0.185
MAC000330,Std,1350169200000,5.847,0.262,0.1145
MAC000331,Std,1350169200000,19.783,2.7909999,0.1385
MAC000332,Std,1350169200000,10.992,0.783,0.151
MAC000333,Std,1350169200000,3.393,0.315,0.061
MAC000334,Std,1350169200000,4.584,0.214,0.086
MAC000335,Std,1350169200000,7.394,0.467,0.115
MAC000337,Std,1350169200000,3.141,0.195,0.068
MAC000338,Std,1350169200000,21.819,1.376,0.3845
MAC000340,Std,1350169200000,9.973,0.719,0.1665
MAC000341,Std,1350169200000,13.0910001,1.5420001,0.202
MAC000343,Std,1350169200000,5.427,0.336,0.123
MAC000345,Std,1350169200000,17.475,1.779,0.178
MAC000346,Std,1350169200000,4.372,0.17,0.0875
MAC000347,Std,1350169200000,5.691,0.606,0.071
MAC000348,Std,1350169200000,4.324,0.314,0.0585
MAC000349,Std,1350169200000,3.644,0.375,0.0455
MAC000350,Std,1350169200000,8.554,1.348,0.141
MAC000351,Std,1350169200000,6.774,1.569,0.076
MAC000353,Std,1350169200000,3.43,0.37,0.055
MAC000355,Std,1350169200000,10.531,0.627,0.125
MAC000356,Std,1350169200000,10.452,1.089,0.1015
MAC000357,Std,1350169200000,16.881,1.396,0.158
MAC000358,Std,1350169200000,62.9060004,4.8010001,1.2425
MAC000359,Std,1350169200000,14.193,0.856,0.281
MAC000360,Std,1350169200000,7.836,0.556,0.0975
MAC000361,Std,1350169200000,10.459,1.404,0.1025
MAC000362,Std,1350169200000,3.805,0.291,0.0635
MAC000363,Std,1350169200000,3.722,0.548,0.0495
MAC004268,Std,1350169200000,7.883,0.745,0.083
MAC004269,Std,1350169200000,10.563,0.861,0.1975
MAC004271,Std,1350169200000,11.013,0.569,0.1555
MAC004272,Std,1350169200000,5.346,0.206,0.104
MAC004273,Std,1350169200000,6.077,0.348,0.1065
MAC004274,Std,1350169200000,4.167,0.297,0.0555
MAC004275,Std,1350169200000,15.08,1.159,0.286
MAC004276,Std,1350169200000,15.552,0.744,0.2915
MAC004277,Std,1350169200000,11.874,0.787,0.2165
MAC004278,Std,1350169200000,13.003,1.284,0.166
MAC004279,Std,1350169200000,7.589,0.498,0.16
MAC004280,Std,1350169200000,28.007,1.4529999,0.486
MAC004281,Std,1350169200000,6.389,0.71,0.107
MAC000002,Std,1350255600000,10.257,1.164,0.131
MAC000003,Std,1350255600000,12.77,1.455,0.172
MAC000004,Std,1350255600000,1.812,0.212,0
MAC000006,Std,1350255600000,3.451,0.34,0.06
MAC000007,Std,1350255600000,8.242,0.792,0.1105
MAC000008,Std,1350255600000,19.761,1.091,0.3795
MAC000009,Std,1350255600000,10.4040001,1.1390001,0.16
MAC000010,Std,1350255600000,24.667,1.751,0.3865
MAC000012,Std,1350255600000,1.15,0.055,0.019
MAC000013,Std,1350255600000,5.455,0.247,0.1065
MAC000016,Std,1350255600000,0.477,0.163,0
MAC000018,Std,1350255600000,11.974,0.636,0.226
MAC000019,Std,1350255600000,3.427,0.14,0.0705
MAC000020,Std,1350255600000,5.572,0.29,0.0805
MAC000021,Std,1350255600000,23.998,1.155,0.4575
